,level,top_name,second_name,third_name,top_value,second_value,third_value
0,0.0,Groceries,,,0.3554093266554554,,
1,1.0,Groceries,Soups,,0.3554093266554554,0.458682472293863,
2,2.0,Groceries,Soups,Asian Soup & Stock,0.3554093266554554,0.458682472293863,0.0
3,2.0,Groceries,Soups,Western Soup,0.3554093266554554,0.458682472293863,1.0
4,1.0,Groceries,Cereals,,0.3554093266554554,0.15289415743128767,
5,2.0,Groceries,Cereals,Hot Cereal & Oats,0.3554093266554554,0.15289415743128767,1.0
6,2.0,Groceries,Cereals,Breakfast Cereal,0.3554093266554554,0.15289415743128767,0.0
7,1.0,Groceries,Noodles,,0.3554093266554554,0.30578831486257535,
8,2.0,Groceries,Noodles,Others,0.3554093266554554,0.30578831486257535,0.2672612419124244
9,2.0,Groceries,Noodles,Vermicelli,0.3554093266554554,0.30578831486257535,0.8017837257372732
10,2.0,Groceries,Noodles,Pasta,0.3554093266554554,0.30578831486257535,0.5345224838248488
11,2.0,Groceries,Noodles,Instant Noodles,0.3554093266554554,0.30578831486257535,0.0
12,1.0,Groceries,Bread Spread,,0.3554093266554554,0.050964719143762556,
13,2.0,Groceries,Bread Spread,Others,0.3554093266554554,0.050964719143762556,0.5345224838248488
14,2.0,Groceries,Bread Spread,Peanut Butter & Choc,0.3554093266554554,0.050964719143762556,0.8017837257372732
15,2.0,Groceries,Bread Spread,Honey & Maple Syrup,0.3554093266554554,0.050964719143762556,0.0
16,2.0,Groceries,Bread Spread,Jam & Kaya,0.3554093266554554,0.050964719143762556,0.2672612419124244
17,1.0,Groceries,Baking Needs,,0.3554093266554554,0.0,
18,2.0,Groceries,Baking Needs,Coconut Products,0.3554093266554554,0.0,0.26967994498529685
19,2.0,Groceries,Baking Needs,Cake Mix,0.3554093266554554,0.0,0.13483997249264842
20,2.0,Groceries,Baking Needs,Others,0.3554093266554554,0.0,0.674199862463242
21,2.0,Groceries,Baking Needs,Jelly Powder & Mix,0.3554093266554554,0.0,0.5393598899705937
22,2.0,Groceries,Baking Needs,Baking Flour,0.3554093266554554,0.0,0.0
23,2.0,Groceries,Baking Needs,Colouring & Flavours,0.3554093266554554,0.0,0.40451991747794525
24,1.0,Groceries,Rice,,0.3554093266554554,0.40771775315010045,
25,2.0,Groceries,Rice,White Rice,0.3554093266554554,0.40771775315010045,0.8944271909999159
26,2.0,Groceries,Rice,Others,0.3554093266554554,0.40771775315010045,0.4472135954999579
27,2.0,Groceries,Rice,Instant Porridge,0.3554093266554554,0.40771775315010045,0.0
28,1.0,Groceries,Oil,,0.3554093266554554,0.3567530340063379,
29,2.0,Groceries,Oil,Corn Oil,0.3554093266554554,0.3567530340063379,0.1690308509457033
30,2.0,Groceries,Oil,Others,0.3554093266554554,0.3567530340063379,0.3380617018914066
31,2.0,Groceries,Oil,Olive Oil,0.3554093266554554,0.3567530340063379,0.253546276418555
32,2.0,Groceries,Oil,Sunflower Oil,0.3554093266554554,0.3567530340063379,0.50709255283711
33,2.0,Groceries,Oil,Vegetable Oil,0.3554093266554554,0.3567530340063379,0.5916079783099616
34,2.0,Groceries,Oil,Soyabean Oil,0.3554093266554554,0.3567530340063379,0.4225771273642583
35,2.0,Groceries,Oil,Blended Cooking Oil,0.3554093266554554,0.3567530340063379,0.0
36,2.0,Groceries,Oil,Canola Oil,0.3554093266554554,0.3567530340063379,0.08451542547285165
37,1.0,Groceries,Sugar,,0.3554093266554554,0.5096471914376256,
38,2.0,Groceries,Sugar,Sugar & Substitutes,0.3554093266554554,0.5096471914376256,0.0
39,1.0,Groceries,Condiments,,0.3554093266554554,0.20385887657505022,
40,2.0,Groceries,Condiments,Seasoning,0.3554093266554554,0.20385887657505022,0.5345224838248488
