,level,top_name,second_name,third_name,top_value,second_value,third_value
0,0.0,Toys & Stationery,,,0.48900964692182575,,
1,1.0,Toys & Stationery,Stationery,,0.48900964692182575,0.0,
2,1.0,Toys & Stationery,Toys,,0.48900964692182575,1.0,
3,0.0,Fresh Produce,,,0.2222771122371935,,
4,1.0,Fresh Produce,Fruit,,0.2222771122371935,0.26967994498529685,
5,1.0,Fresh Produce,Vegetables,,0.2222771122371935,0.674199862463242,
6,1.0,Fresh Produce,Bakery,,0.2222771122371935,0.0,
7,1.0,Fresh Produce,Meat,,0.2222771122371935,0.40451991747794525,
8,1.0,Fresh Produce,Deli,,0.2222771122371935,0.13483997249264842,
9,1.0,Fresh Produce,Seafood,,0.2222771122371935,0.5393598899705937,
10,0.0,Baby Care,,,0.0,,
11,1.0,Baby Care,Food & Juice,,0.0,0.3380617018914066,
12,1.0,Baby Care,Diapers,,0.0,0.1690308509457033,
13,1.0,Baby Care,Cleaning Needs,,0.0,0.08451542547285165,
14,1.0,Baby Care,Cereal & Biscuit,,0.0,0.0,
15,1.0,Baby Care,Milk For Mum,,0.0,0.4225771273642583,
16,1.0,Baby Care,Milk Powder,,0.0,0.50709255283711,
17,1.0,Baby Care,Equipment & Accessories,,0.0,0.253546276418555,
18,1.0,Baby Care,Toiletries,,0.0,0.5916079783099616,
19,0.0,Groceries,,,0.2667325346846322,,
20,1.0,Groceries,Condiments/Dressing,,0.2667325346846322,0.15694120514358612,
21,1.0,Groceries,Rice,,0.2667325346846322,0.3766588923446067,
22,1.0,Groceries,Canned Food,,0.2667325346846322,0.09416472308615167,
23,1.0,Groceries,Confectionery,,0.2667325346846322,0.18832944617230335,
24,1.0,Groceries,Biscuits,,0.2667325346846322,0.06277648205743445,
25,1.0,Groceries,Beer,,0.2667325346846322,0.0,
26,1.0,Groceries,Ready to Drink,,0.2667325346846322,0.34527065131588947,
27,1.0,Groceries,Wine & Spirit,,0.2667325346846322,0.43943537440204117,
28,1.0,Groceries,Cooking Needs,,0.2667325346846322,0.21971768720102058,
29,1.0,Groceries,Cereals,,0.2667325346846322,0.1255529641148689,
30,1.0,Groceries,Jam & Spreads,,0.2667325346846322,0.282494169258455,
31,1.0,Groceries,Cooking Oil,,0.2667325346846322,0.2511059282297378,
32,1.0,Groceries,Beverages,,0.2667325346846322,0.03138824102871723,
33,1.0,Groceries,Snacks,,0.2667325346846322,0.40804713337332393,
34,1.0,Groceries,Noodles & Pasta,,0.2667325346846322,0.31388241028717223,
35,0.0,Leisure,,,0.444554224474387,,
36,1.0,Leisure,Sports & Fitness,,0.444554224474387,0.628970902033151,
37,1.0,Leisure,Bags & Luggage,,0.444554224474387,0.10482848367219183,
38,1.0,Leisure,BBQ Essential,,0.444554224474387,0.0,
39,1.0,Leisure,Cycling,,0.444554224474387,0.20965696734438366,
40,1.0,Leisure,Pet Food,,0.444554224474387,0.5241424183609592,
41,1.0,Leisure,Outdoor,,0.444554224474387,0.4193139346887673,
42,1.0,Leisure,Gardening,,0.444554224474387,0.3144854510165755,
43,0.0,Home Furnishing,,,0.35564337957950964,,
44,1.0,Home Furnishing,Towels,,0.35564337957950964,0.8944271909999159,
45,1.0,Home Furnishing,Cushions & Curtain,,0.35564337957950964,0.4472135954999579,
46,1.0,Home Furnishing,Beds & Bedding,,0.35564337957950964,0.0,
47,0.0,Health & Beauty,,,0.3111879571320709,,
48,1.0,Health & Beauty,Feminine Care,,0.3111879571320709,0.1690308509457033,
49,1.0,Health & Beauty,Oral Care,,0.3111879571320709,0.50709255283711,
50,1.0,Health & Beauty,Beauty Care,,0.3111879571320709,0.0,
51,1.0,Health & Beauty,Body Care,,0.3111879571320709,0.08451542547285165,
52,1.0,Health & Beauty,Men Toiletries,,0.3111879571320709,0.4225771273642583,
53,1.0,Health & Beauty,Health Care,,0.3111879571320709,0.3380617018914066,
54,1.0,Health & Beauty,Skin Care,,0.3111879571320709,0.5916079783099616,
55,1.0,Health & Beauty,Hair Care,,0.3111879571320709,0.253546276418555,
56,0.0,Dairy & Frozen,,,0.1333662673423161,,
57,1.0,Dairy & Frozen,Vegetarian Food,,0.1333662673423161,0.4193139346887673,
58,1.0,Dairy & Frozen,Eggs,,0.1333662673423161,0.17471413945365305,
59,1.0,Dairy & Frozen,Frozen Convenience Food,,0.1333662673423161,0.24459979523511427,
60,1.0,Dairy & Frozen,Chilled Juice,,0.1333662673423161,0.06988565578146122,
61,1.0,Dairy & Frozen,Milk & Cream,,0.1333662673423161,0.3843711067980367,
62,1.0,Dairy & Frozen,Ice Cream,,0.1333662673423161,0.3494282789073061,
63,1.0,Dairy & Frozen,Chilled Processed Food,,0.1333662673423161,0.10482848367219183,
64,1.0,Dairy & Frozen,Chilled Cheese,,0.1333662673423161,0.0,
65,1.0,Dairy & Frozen,Frozen Bakery,,0.1333662673423161,0.20965696734438366,
66,1.0,Dairy & Frozen,Dairy Spreads,,0.1333662673423161,0.13977131156292244,
67,1.0,Dairy & Frozen,Frozen Processed Food,,0.1333662673423161,0.2795426231258449,
68,1.0,Dairy & Frozen,Chilled Dessert,,0.1333662673423161,0.03494282789073061,
69,1.0,Dairy & Frozen,Frozen Vegetables,,0.1333662673423161,0.3144854510165755,
70,1.0,Dairy & Frozen,Yogurt,,0.1333662673423161,0.45425676257949793,
71,0.0,D.I.Y.,,,0.08891084489487741,,
