,level,top_name,second_name,third_name,top_value,second_value,third_value
0,0.0,Health & Beauty,,,0.31378581622109447,,
1,1.0,Health & Beauty,Makeup,,0.31378581622109447,0.30578831486257535,
2,2.0,Health & Beauty,Makeup,Tools & Brushes,0.31378581622109447,0.30578831486257535,1.0
3,2.0,Health & Beauty,Makeup,Makeup Remover,0.31378581622109447,0.30578831486257535,0.0
4,1.0,Health & Beauty,Dental,,0.31378581622109447,0.0,
5,2.0,Health & Beauty,Dental,Kid's Toothpaste,0.31378581622109447,0.0,0.3554093266554554
6,2.0,Health & Beauty,Dental,Dental Floss,0.31378581622109447,0.0,0.11846977555181847
7,2.0,Health & Beauty,Dental,Kid's Toothbrushes,0.31378581622109447,0.0,0.29617443887954614
8,2.0,Health & Beauty,Dental,Mouthwash,0.31378581622109447,0.0,0.4146442144313646
9,2.0,Health & Beauty,Dental,Toothbrushes,0.31378581622109447,0.0,0.47387910220727386
10,2.0,Health & Beauty,Dental,Breath Spray,0.31378581622109447,0.0,0.0
11,2.0,Health & Beauty,Dental,Dentures,0.31378581622109447,0.0,0.1777046633277277
12,2.0,Health & Beauty,Dental,Toothpaste,0.31378581622109447,0.0,0.533113989983183
13,2.0,Health & Beauty,Dental,Electric Toothbrushes,0.31378581622109447,0.0,0.23693955110363693
14,2.0,Health & Beauty,Dental,Dental Accessories,0.31378581622109447,0.0,0.05923488777590923
15,1.0,Health & Beauty,Feminine Care,,0.31378581622109447,0.10192943828752511,
16,2.0,Health & Beauty,Feminine Care,Intimate Care,0.31378581622109447,0.10192943828752511,0.0
17,2.0,Health & Beauty,Feminine Care,Sensitive Bladder & Incontinence,0.31378581622109447,0.10192943828752511,1.0
18,1.0,Health & Beauty,Sports Nutrition,,0.31378581622109447,0.458682472293863,
19,2.0,Health & Beauty,Sports Nutrition,Bars,0.31378581622109447,0.458682472293863,0.0
20,2.0,Health & Beauty,Sports Nutrition,Powder,0.31378581622109447,0.458682472293863,1.0
21,1.0,Health & Beauty,"Shower, Bath & Soap",,0.31378581622109447,0.3567530340063379,
22,2.0,Health & Beauty,"Shower, Bath & Soap",Bath Accessories,0.31378581622109447,0.3567530340063379,0.4472135954999579
23,2.0,Health & Beauty,"Shower, Bath & Soap",Hand Wash,0.31378581622109447,0.3567530340063379,0.8944271909999159
24,2.0,Health & Beauty,"Shower, Bath & Soap",Bar Soap,0.31378581622109447,0.3567530340063379,0.0
25,1.0,Health & Beauty,Vitamins & Supplements,,0.31378581622109447,0.5096471914376256,
26,2.0,Health & Beauty,Vitamins & Supplements,Supplements,0.31378581622109447,0.5096471914376256,0.4472135954999579
27,2.0,Health & Beauty,Vitamins & Supplements,Vitamins,0.31378581622109447,0.5096471914376256,0.8944271909999159
28,2.0,Health & Beauty,Vitamins & Supplements,Multivitamins,0.31378581622109447,0.5096471914376256,0.0
29,1.0,Health & Beauty,First Aid & Health Care,,0.31378581622109447,0.15289415743128767,
30,2.0,Health & Beauty,First Aid & Health Care,"Cough, Cold & Flu",0.31378581622109447,0.15289415743128767,0.13483997249264842
31,2.0,Health & Beauty,First Aid & Health Care,Pain Relief,0.31378581622109447,0.15289415743128767,0.674199862463242
32,2.0,Health & Beauty,First Aid & Health Care,Eye Care,0.31378581622109447,0.15289415743128767,0.26967994498529685
33,2.0,Health & Beauty,First Aid & Health Care,Herbal & Homeopathic Remedies,0.31378581622109447,0.15289415743128767,0.40451991747794525
34,2.0,Health & Beauty,First Aid & Health Care,Adult Diapers,0.31378581622109447,0.15289415743128767,0.0
35,2.0,Health & Beauty,First Aid & Health Care,OTC Medicines,0.31378581622109447,0.15289415743128767,0.5393598899705937
36,1.0,Health & Beauty,Fragrance & Deodorants,,0.31378581622109447,0.20385887657505022,
37,2.0,Health & Beauty,Fragrance & Deodorants,Fragrance,0.31378581622109447,0.20385887657505022,0.8944271909999159
38,2.0,Health & Beauty,Fragrance & Deodorants,Deodorants for Men,0.31378581622109447,0.20385887657505022,0.0
39,2.0,Health & Beauty,Fragrance & Deodorants,Deodorants for Women,0.31378581622109447,0.20385887657505022,0.4472135954999579
40,1.0,Health & Beauty,Hair Care,,0.31378581622109447,0.2548235957188128,
41,2.0,Health & Beauty,Hair Care,Conditioner,0.31378581622109447,0.2548235957188128,0.0
42,2.0,Health & Beauty,Hair Care,Styling Products,0.31378581622109447,0.2548235957188128,0.628970902033151
43,2.0,Health & Beauty,Hair Care,Medicated Shampoo,0.31378581622109447,0.2548235957188128,0.4193139346887673
44,2.0,Health & Beauty,Hair Care,Hair Color & Dye,0.31378581622109447,0.2548235957188128,0.20965696734438366
45,2.0,Health & Beauty,Hair Care,Hair Accessories,0.31378581622109447,0.2548235957188128,0.10482848367219183
46,2.0,Health & Beauty,Hair Care,Shampoo,0.31378581622109447,0.2548235957188128,0.5241424183609592
47,2.0,Health & Beauty,Hair Care,Masks & Treatments,0.31378581622109447,0.2548235957188128,0.3144854510165755
48,1.0,Health & Beauty,Skin Care,,0.31378581622109447,0.40771775315010045,
49,2.0,Health & Beauty,Skin Care,Suncare,0.31378581622109447,0.40771775315010045,0.5477225575051661
50,2.0,Health & Beauty,Skin Care,Hand & Foot Care,0.31378581622109447,0.40771775315010045,0.3651483716701107
51,2.0,Health & Beauty,Skin Care,Body Scrub & Exfoliators,0.31378581622109447,0.40771775315010045,0.18257418583505536
